2024-01-11 17:12:46
Post Name : C-BIO_2

Batch Name : 20221003 PHNPhVal

Date;1TE01 - Temperature;1AE02 - Oxygene dissous;1AE03 - pH;1AE05 - Libre 1;1AE06 - Libre 2;1MT01 - Agitation;1PP23 - Pompe 01PP23;1AE01 - Anti-Mousse;1FV50 - Air;1SC01 - Agitation_MV;1SC01 - Agitation_SP;1SC01 - Agitation_OUT;1TC01 - Temperature_MV;1TC01 - Temperature_SP;1TC01 - Temperature_OUT;1AC03 - Oxygene Dissous_MV;1AC03 - Oxygene Dissous_SP;1AC03 - Oxygene Dissous_OUT;1AC04 - pH_MV;1AC04 - pH_SP;1AC04 - pH_OUT;1AC01 - Anti Mousse_MV;1AC01 - Anti Mousse_SP;1AC01 - Anti Mousse_OUT;1PC23 - Pompe 01PP23_MV;1PC23 - Pompe 01PP23_SP;1PC23 - Pompe 01PP23_OUT;1FC50 - Air_MV;1FC50 - Air_SP;1FC50 - Air_OUT;1AC05 - Libre 1_MV;1AC05 - Libre 1_SP;1AC05 - Libre 1_OUT;1AC06 - Libre 2_MV;1AC06 - Libre 2_SP;1AC06 - Libre 2_OUT;1XC01 - Calcul 1_MV;1XC01 - Calcul 1_SP;1XC01 - Calcul 1_OUT;1XC02 - Calcul 2_MV;1XC02 - Calcul 2_SP;1XC02 - Calcul 2_OUT;1XC03 - Calcul 3_MV;1XC03 - Calcul 3_SP;1XC03 - Calcul 3_OUT;1XC04 - Calcul 4_MV;1XC04 - Calcul 4_SP;1XC04 - Calcul 4_OUT;1XC05 - Calcul 5_MV;1XC05 - Calcul 5_SP;1XC05 - Calcul 5_OUT;1XC06 - Calcul 6_MV;1XC06 - Calcul 6_SP;1XC06 - Calcul 6_OUT;COMMENT;
03/10/2022 18:15:53;29,818336;89,537529;7,007016;-0,149597;-109,183167;400;8;0;0,50001;400;400;40;29,833309;30;8,235521;89,537529;30;-100;7,036023;7;0;0;0;0;8;10;0;0,50001;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:16:23;29,863258;90,050652;7,033684;-0,249771;-109,183167;400;8;0;0,499776;400;400;40;29,863258;30;8,010015;90,037315;30;-100;7,01918;7;0;0;0;0;8;10;0;0,499754;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:16:53;29,893208;90,783684;7,00842;-0,169617;-109,183167;400;8;0;0,499882;400;400;40;29,857269;30;8,038198;90,770363;30;-100;7,013099;7;0;0;0;0;8;10;0;0,499882;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:17:23;29,893208;91,170204;7,020584;-0,169617;-109,183167;400;8;0;0,500028;400;400;40;29,893208;30;7,587221;91,130211;30;-100;7,01918;7;0;0;0;0;8;10;0;0,500028;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:17:53;29,926151;92,836205;7,01918;-0,149597;-109,183167;400;8;0;0,500243;400;400;40;29,926151;30;0;93,022804;30;-100;7,045848;7;0;0;0;0;8;10;0;0,499912;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:18:23;29,956097;94,049049;7,03228;-0,169617;-109,183167;400;8;0;0,499827;400;400;40;29,956097;30;0;94,049049;30;-100;7,03228;7;0;0;0;0;8;10;0;0,499827;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:18:53;29,959091;94,868721;7,026198;-0,149597;-109,183167;400;8;0;0,499969;400;400;40;29,959091;30;0;94,868721;30;-100;7,026198;7;0;0;0;0;8;10;0;0,499969;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:19:23;29,995029;94,715446;7,013099;-0,209686;-109,183167;400;8;0;0,499852;400;400;40;29,98904;30;0;94,708778;30;-100;7,020584;7;0;0;0;0;8;10;0;0,499909;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:19:53;29,98904;95,041985;7,00421;-0,169617;-109,183167;400;8;0;0,500031;400;400;40;29,98904;30;0;95,041985;30;-100;7,00421;7;0;0;0;0;8;10;0;0,500031;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:20:23;30,021984;95,375175;7,03649;-0,169617;-109,183167;400;8;0;0,499896;400;400;40;30,021984;30;0;95,375175;30;-100;7,03649;7;0;0;0;0;8;10;0;0,499896;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
