2024-01-11 16:59:58
Post Name : C-BIO_2

Batch Name : PL-2023-01-30-Act3-1

Date;1TE01 - Temperature;1AE02 - Oxygene dissous;1AE03 - pH;1AE05 - Libre 1;1AE06 - Libre 2;1MT01 - Agitation;1PP23 - Pompe 01PP23;1AE01 - Anti-Mousse;1FV50 - Air;1SC01 - Agitation_MV;1SC01 - Agitation_SP;1SC01 - Agitation_OUT;1TC01 - Temperature_MV;1TC01 - Temperature_SP;1TC01 - Temperature_OUT;1AC03 - Oxygene Dissous_MV;1AC03 - Oxygene Dissous_SP;1AC03 - Oxygene Dissous_OUT;1AC04 - pH_MV;1AC04 - pH_SP;1AC04 - pH_OUT;1AC01 - Anti Mousse_MV;1AC01 - Anti Mousse_SP;1AC01 - Anti Mousse_OUT;1PC23 - Pompe 01PP23_MV;1PC23 - Pompe 01PP23_SP;1PC23 - Pompe 01PP23_OUT;1FC50 - Air_MV;1FC50 - Air_SP;1FC50 - Air_OUT;1AC05 - Libre 1_MV;1AC05 - Libre 1_SP;1AC05 - Libre 1_OUT;1AC06 - Libre 2_MV;1AC06 - Libre 2_SP;1AC06 - Libre 2_OUT;1XC01 - Calcul 1_MV;1XC01 - Calcul 1_SP;1XC01 - Calcul 1_OUT;1XC02 - Calcul 2_MV;1XC02 - Calcul 2_SP;1XC02 - Calcul 2_OUT;1XC03 - Calcul 3_MV;1XC03 - Calcul 3_SP;1XC03 - Calcul 3_OUT;1XC04 - Calcul 4_MV;1XC04 - Calcul 4_SP;1XC04 - Calcul 4_OUT;1XC05 - Calcul 5_MV;1XC05 - Calcul 5_SP;1XC05 - Calcul 5_OUT;1XC06 - Calcul 6_MV;1XC06 - Calcul 6_SP;1XC06 - Calcul 6_OUT;COMMENT;
30/01/2023 19:10:09;26,224586;100,133278;6,975204;-0,249771;-109,183167;200;8;0;1,000294;200;200;20;26,224586;30;42,19997;100,133278;0;0;6,975204;7;0;0;0;0;8;0;0;1,000294;1;10;-0,249771;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:10:39;26,293468;101,199532;6,947132;-0,269821;-109,183167;200;8;0;0,999917;200;200;20;26,287476;30;41,55167;100,833015;0;0;6,9607;7;0;0;0;0;8;0;0;0,999723;1;10;-0,269821;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:11:09;26,365341;102,279091;6,94994;-0,209686;-109,183167;200;8;0;0,999954;200;200;20;26,365341;30;41,185246;102,279091;0;0;6,94994;7;0;0;0;0;8;0;0;0,999954;1;10;-0,209686;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:11:39;26,422245;102,992149;6,959764;-0,249771;-109,183167;200;8;0;1,000028;200;200;20;26,422245;30;40,593346;102,992149;0;0;6,959764;7;0;0;0;0;8;0;0;1,000028;1;10;-0,249771;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:12:09;26,497112;103,651878;6,935436;-0,269821;-109,183167;200;8;0;0,999891;200;200;20;26,497112;30;39,973267;103,651878;0;0;6,935436;7;0;0;0;0;8;0;0;0,999891;1;10;-0,269821;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;depart                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;
30/01/2023 19:12:39;26,586956;103,725182;6,967718;-0,249771;-109,183167;200;8;0;1,00016;200;200;20;26,592949;30;38,817619;103,985069;0;0;6,911576;7;0;0;0;0;8;0;0;0,999995;1;10;-0,269821;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:13:09;26,718731;104,298286;6,943858;-0,249771;-109,183167;400;8;0;0,499795;400;400;40;26,718731;30;37,549198;104,298286;30;-100;6,943858;7;0;0;0;0;8;0;0;0,499795;0,5;5;-0,249771;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:13:39;26,820553;104,238319;6,975204;-0,209686;-109,183167;400;8;0;0,499931;400;400;40;26,820553;30;36,590874;104,238319;30;-100;6,975204;7;0;0;0;0;8;0;0;0,499931;0,5;5;-0,209686;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:14:09;26,946339;104,158348;6,958361;-0,249771;-109,183167;400;8;0;0,49992;400;400;40;26,946339;30;35,350677;104,158348;30;-100;6,958361;7;0;0;0;0;8;0;0;0,49992;0,5;5;-0,249771;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30/01/2023 19:14:39;27,08709;104,324944;6,934968;-0,249771;-109,183167;400;8;0;0,49999;400;400;40;27,08709;30;34,082294;104,324944;30;-100;6,934968;7;0;0;0;0;8;0;0;0,49999;0,5;5;-0,249771;10;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
